"","Name","Type of Insurance Company","Insurance Category","Insurance Company Status","Authorization Country","Country of Authorisation","Website","Link","address"
"192","CANTERBURY INSURANCE dac","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1495","James Joyce Street The Metropolitan Building , Dublin 1, Dublin Irland"
"193","Caravela - Companhia de Seguros, SA","Freedom To Provide Services","Non Life Insurance","Active","Greece","Portugal","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5164","Avenida Casal Ribeiro 14, 1000-092 Lisboa , Portugal"
"194","CARDIF ASSURANCE VIE","Freedom To Provide Services","Composite","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2039","Boulevard Haussmann 1, 75318, Paris France"
"195","CARDIF ASSURANCES RISQUES DIVERS","Freedom To Provide Services","Non Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2037","Boulevard Haussmann 1, 75318, Paris France"
"196","CARDIF LUX VIE SA","Freedom To Provide Services","Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1255","AVENUE DE LA PORTE-NEUVE 23-25, L-2227, Luxembourg Luxemburg"
"197","CARRAIG INSURANCE dac","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1480","James Joyce Street The Metropolitan Building , Dublin 1, Dublin Irland"
"198","CARREFOUR INSURANCE dac","Freedom To Provide Services","Non Life Insurance","License Withdrawal","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=272","Mount Street Upper 10, DUBLIN 2, Dublin Irland"
"199","CARTPRINT INSURANCE AG","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Lichtenstain","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1659","Kirchstrasse 12, 9490, Vaduz Lichtenstain"
"200","CATALINA LONDON LIMITED","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3343","ALIE STR., 1, E1 8 DE, London United Kingdom"
"201","CBL Insurance Europe dac","Freedom To Provide Services","Non Life Insurance","Liquidation","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2388","Fitzwilliam Street Upper 13, Dublin 2, Dublin Irland"
"202","CDA 40 zavarovalnica d.d.","Freedom To Provide Services","Non Life Insurance","Liquidation","Greece","Slovenia","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2691","Pri velikih vratih 1, 6000, Koper Slovenia"
"203","CDC IXIS Financial Guaranty Europe","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1482",""
"204","CERTASIG - SOCIETATE DE ASIGURARE SI REASIGURARE S.A.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Romania","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1804","Str. Nicolae Caramfil Sector 1, 61B, Bucharest Romania"
"205","CESKA POJISTOVNA ZDRAVI A.S.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Czech Republic","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=321","LITEVSKA 1174-8, PSC 10005 , Prague Czech Republic"
"206","CG Car-Garantie Versicherungs-AG","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2857","Gundlinger Str. 12, 79111, Freiburg Germany"
"207","CHARTIS EUROPE S.A.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1780","Place des Corolles- tour Chartis 34, 92400, Paris France"
"208","Chaucer Insurance Company Designated Activity Company","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2855","The Greenway, St Stephen's Green 112-114, Dublin 2, D02 TD28, Dublin Irland"
"209","China Taiping Insurance (UK) Co Ltd","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2700","Finch Lane 2, EC3V 3NA, London United Kingdom"
"210","Chubb Bermuda International Insurance (Ireland) dac","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=487","George's Dock 5, IFSC, Dublin Irland"
"211","CHUBB European Group SE","Freedom To Provide Services","Non Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3276","Place des Corolles 31, La Tour Carpe Diem, 92400, Courbevoie France"
"212","Chubb Insurance Company Of Europe SE","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1871","Fenchurch Street 106, EC3M 5NB, London United Kingdom"
"213","CHUBB Life Europe SE","Freedom To Provide Services","Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3274","Place des Corolles 31, La Tour Carpe Diem, 92400, Courbevoie France"
"214","CIG Pannonia Elso Magyar Altalanos Biztosito Zartkoruen Mukodo Reszvenytarsasag","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Hungary","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2805","Florian ter 1 , 1033, Budapest Hungary"
"215","CIGNA EUROPE INSURANCE COMPANY SA","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1504","Avenue Cortenbergh 52, 1000, Brussels Belgium"
"216","CIGNA INSURANCE COMPANY OF EUROPE S.A   N.V.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1289",""
"217","CIGNA INSURANCE S.A.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=250","RUE BALLU 14, A 75009 , Paris France"
"218","Cigna Life Insurance Company of Europe SA","Freedom To Provide Services","Composite","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=400","Avenue Cortenbergh 52, 1000, Brussels Belgium"
"219","CNA INSURANCE COMPANY (EUROPE) SA","Freedom To Provide Services","Non Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5069","Avenue John F.Kennedy 35F, L-1855, Luxembourg Luxemburg"
"220","CNA INSURANCE COMPANY LIMITED","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","http://www.cnaeurope.com","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=230","20 Fenchurch Street , EC3M 3BY, London United Kingdom"
"221","CNP ASFALISTIKI LTD","Branch","Non Life Insurance","Active","Greece","Cyprus","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=356","Akropoleos 17, 2006 Strovolos, Strovolos Cyprus"
"222","CNP ASSURANCES","Freedom To Provide Services","Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1516","CNP ASSURANCES 4 PROMENADE COEUR DE VILLE , ISSY-LES-MOULINEAUX-FRANCE, Paris France"
"223","CNP IAM","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=255","PLACE RAUL DAUTRY 4, 75716 PARIS CEDEX 15, Paris France"
"224","CNP LUXEMBOURG S.A.","Freedom To Provide Services","Composite","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2652","rue Pierre d'Aspelt 1A, L-1142, Luxembourg Luxemburg"
"225","CNP ZOIS S.M.S.A.","Insurance Undertaking","Composite","Active","Greece","Greece","http://www.cnpzois.com","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=20","Leof.Syggroy 162-166 (ktirio 1), 17671, Kallithea, Attic, Greece"
"226","Coface Austria Kreditversicherung AG","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Austria","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2086","Stubenring 24, 1010, Vienna Austria"
"227","COLLINSON INSURANCE EUROPE LIMITED","Freedom To Provide Services","Non Life Insurance","Active","Greece","Malta","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3315","Development House St Anne Street, FRN 9010, Floriana Malta"
"228","COLONIA BALTICA INSURANCE LIMITED","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1305",""
"229","COMMERCIAL UNION ASSURANCES","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1304",""
"230","COMMERCIAL UNION BELGIUM S.A.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=248","DEBROUX 54, 1160, Brussels Belgium"
"231","COMMERCIAL UNION ESPANA","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Spain","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=275","VIA AUGUSTA 281-285 Barcelona Spain"
"232","COMMERCIAL VALUE INSURANCE COMPANY SA","Insurance Undertaking","Composite","Liquidation","Greece","Greece","http://www.commercialvalue.gr","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2","Othonos 4, 10557, Athens, Attic, Greece"
"233","COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.","Freedom To Provide Services","Composite","Active","Greece","Italy","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1546","Via Marco Ulpio Traiano 18, 20149, Milan Italy"
"234","COMPAGNIE EUROPEENNE D ASSURANCES","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1578","Rue de trois Fontanot 41, 92024, Paris France"
"235","Compagnie Francaise d'Assurance pour le Commerce Exterieur SA","Branch","Non Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3041","1 Place Costes et Bellonte , 92270 Bois-Colombes, Paris France"
"236","Compagnie Francaise d'Assurance pour le Commerce Exterieur SA","Freedom To Provide Services","Non Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2041","1 Place Costes et Bellonte , 92270 Bois-Colombes, Paris France"
"237","COMPANIA ESPANOLA DE SEGUROS DE CREDITO A LA EXPORTACION, S.A., COMPANIA DE SEGUROS Y REASEGUROS, SOCIEDAD MERCANTIL ESTATAL (CESCE)","Freedom To Provide Services","Non Life Insurance","Active","Greece","Spain","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1250","VELAZQUEZ 74, 28001, Madrid Spain"
"238","COMPANJON Insurance Company DAC","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5136","Custom House Plaza, Harbourmaster Place IFSC, Dublin 1, D01V9V4, Dublin Irland"
"239","CONDOR ALLGEMEINE VERSICHERUNGS AG","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3173","Admiralitatstrasse 67, 20459, Hamburg Germany"
"240","CONTINENTALE KRANKENVERSICHERUNG AG","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3327","Ruhrallee 92, 44139, Dortmund Germany"
"241","Continentale Sachversicherung Aktiengesellschaft","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5151","Ruhralle 92, d-44139, Dortmund Germany"
"242","CONVEX Europe S.A.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5118","Boulevard Joseph II 37, L-1840, Luxembourg Luxemburg"
"243","CONVEX INSURANCE UK Limited","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3419","Lime Street 52-54, EC3M 7AF, London United Kingdom"
"244","COVEA FLEET","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1657","rue Henri Champion 160, 72100, Paris France"
"245","COVEA LIFE LIMITED","Freedom To Provide Services","Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1560",""
"246","COVEA RISKS","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=332","allees de l Europe , 92110, Paris France"
"247","COWEN INSURANCE COMPANY LTD","Freedom To Provide Services","Non Life Insurance","Active","Greece","Malta","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2067","Axeria Business Centre 380, Level 2, Canon Road, SVR 9033, Santa Venera Malta"
"248","Credendo - Guarantees and Specialty Risks","Freedom To Provide Services","Non Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1682","Avenue Roger Vandendriessche 18, 1150, Brussels Belgium"
"249","Credendo - Short-Term Non-EU Risks NV/SA","Freedom To Provide Services","Non Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1566","Rue Montoyer 3, 1000, Brussels Belgium"
"250","Credendo-Short-Term EU Risks Uverova Pojistovna, a.s.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Czech Republic","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2464","NA Pankraci 1683/127, 14000 Prague 4, Prague Czech Republic"
"251","CREDIT AGRICOLE INSURANCE Property and Casualty Insurance Company","Insurance Undertaking","Non Life Insurance","License Withdrawal","Greece","Greece","http://www.cains.gr/","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=63","Pandrosoy & Mitropoleos 45, 10556, Athens, Attic, Greece"
"252","CREDIT AGRICOLE LIFE INSURANCE SINGLE MEMBER S.A.","Insurance Undertaking","Composite","Active","Greece","Greece","http://www.ca-life.gr","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=42","Filellinon 25, 10557, Athens, Attic, Greece"
"253","Croatia Osiguranje d.d","Freedom To Provide Services","Composite","Active","Greece","Croatia","http://www.crosig.hr","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2318","Miramarska 22, 10000, Zagreb Croatia"
"254","CSOB Pojistovna a.s","Freedom To Provide Services","Composite","Ceased","Greece","Czech Republic","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1586","Zelene predmesti Masarykovo namesti 1458, 532 18, Pardubice Czech Republic"
"255","CUARDAITHE DESIGNATED ACTIVITY COMPANY","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3324","James Joyce Street The Metropolitan Building , Dublin 1, Dublin Irland"
"256","D.A.S. Rechtsschutz AG","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Austria","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1658","Hernalser Gurtel 17, 1711, Vienna Austria"
"257","D.K.V. BELGIUM SA","Freedom To Provide Services","Non Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1195","Boulevard du Bischoffsheim 1 - 8, 1000, Brussels Belgium"
"258","D.K.V. LUXEMBOURG S.A.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1210","Jean Fischbach 11-13, L-3372 Leudelange, Leudelange Luxemburg"
"259","DARAG Deutschland AG","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1888","Hermannstrasse 15 15, Europa-Passage, 20095, Hamburg Germany"
"260","DAS Legal Expenses Insurance Company Limited","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1706","Quay Side Temple Back Bristol , BS1 6NH, Bristol United Kingdom"
"261","DAS, Rechtsbijstand | DAS, Protection Juridique","Freedom To Provide Services","Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5239","Konig Albert II-Laan 7, 1210 Brussels, Brussels Belgium"
"262","De Friesland Zorgverzekeraar N.V.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5101","Sophialaan 50, 8911AE, LEEUWARDEN Holland"
"263","DELA Natura- en levensverzekeringen N.V.","Freedom To Provide Services","Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3409","Oude Stadsgracht 1, 5611 DD , Eindhoven Holland"
"264","DELTA LLOYD LIFE","Freedom To Provide Services","Life Insurance","Ceased","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2084","Avenue Fonsny 38, 1060, Brussels Belgium"
"265","Delta Lloyd Zorgverzekering N.V.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2630","Ringbaan West 236, 5038 KE, Amsterdam Holland"
"266","DELVAG VERSICHERUNGS-AKTIENGESELLSCHAFT","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1187","Venloer Strasse 151-153, 50672, Cologne Germany"
"267","Den Norske KrigsForsikring for Skib- Gjensidig Forening","Freedom To Provide Services","Non Life Insurance","Active","Greece","Norway","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5146",""
"268","DEUTSCHE LEBENSVERSICHERUNGS-AG","Freedom To Provide Services","Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3462","Merlitzstrasse 8, 12489, Berlin Germany"
"269","DEUTSCHER LIOYD LEBENVERSICHERUNG AKTIENGESELLSCHAFT","Freedom To Provide Services","Life Insurance","Ceased","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=298","KARLSTRABE 10, 80333, Munich Germany"
"270","DEUTSCHER RING    SACHVERSICHERUNGS    -AKTIENGE","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1258",""
"271","DEVK Allgmeine Lebensversicherungs-AG","Freedom To Provide Services","Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3014","Riehler Strasse 190, 50735, Cologne Germany"
"272","DEVK Deutsche Eisenbahn Versicherung Lebensversicherungsverein a.G. Betriebliche Sozialeinrichtung der Deutschen Bahn","Freedom To Provide Services","Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3067","Riehler Strasse 190, 50735, Cologne Germany"
"273","DEVK KRANKENVERSICHERUNGS AG","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3431","Riehler Strasse 190, 50735, Cologne Germany"
"274","Deyteros Allilasfalistikos Synetairismos Epaggelmation Idioktiton Aytokiniton Dimosias Chriseos Voreioy Ellados kai Thessalias SYN. P.E.","Mutual Association","Non Life Insurance","Active","Greece","Greece","http://www.2alsyn.gr/","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=363","Giannitson 244, 54628, Thessaloniki, Central Macedonia, Greece"
"275","DIALOG VERSICHERUNG AG","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3349","Adenauerring 7, 81737, Munich Germany"
"276","DINNACLE ISNURANCE PLC","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1390",""
"277","DIREKTA A.A.E.G.A.","Insurance Undertaking","Non Life Insurance","License Withdrawal","Greece","Greece","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=64","14o chlm Thessalonikis Polygyroy 0, 57001, Thermi, Central Macedonia, Greece"
"278","DKV DEUTSCHE KRANKENVERSICHERUNG AG.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1314",""
"279","Domestic & General Insurance plc","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=479","Swan Worple Road Wimbledon 11, SW19 4JS, London United Kingdom"
"280","DONAU Versicherung AG Vienna Insurance Group","Freedom To Provide Services","Composite","Active","Greece","Austria","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1760","Schotterning 15, 1011, Vienna Austria"
"281","Dorinco Insurance (Ireland) Limited","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1826","March house 4th floor Adelaide Road 25-28, Dublin 2, Dublin Irland"
"282","DSV Insurance S/A","Freedom To Provide Services","Non Life Insurance","Active","Greece","Denmark","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1704","Banemarksvej 58, 2605, Brondby Denmark"
"283","DSW Ziektekonstenverzekeringen N.V.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2617","'s-Gravelandseweg 555, 3119 XT, Schiedam Holland"
"284","Dutch Shipping Defence N.V.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2276","POSTBUS 23085, 3001 KB, Rotterdam Holland"
"285","DYNAMIS S.A.","Insurance Undertaking","Non Life Insurance","Active","Greece","Greece","http://www.dynamis.gr","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=40","Vas. Sofias 10 & Kifisias , 15124, Maroussi, Attic, Greece"
